antecedent,consequent,support,confidence,lift,leverage,conviction,antecedent_size
"CONGESTION=Free flow, ROAD=Arterial",PEAK=No,0.0666,0.9903,1.4705,0.0213,33.5548,2
"CONGESTION=Free flow, DURATION=20-45m",PEAK=No,0.0513,0.989,1.4685,0.0164,29.5777,2
"CONGESTION=Free flow, WEATHER=Clear",PEAK=No,0.0839,0.9884,1.4677,0.0267,28.2209,2
"DURATION=>90m, SEVERITY=Serious",CONGESTION=Severe,0.096,0.7732,1.4674,0.0306,2.0862,2
"CONGESTION=Free flow, SEVERITY=Minor",PEAK=No,0.0805,0.9869,1.4655,0.0256,25.0201,2
"DURATION=>90m, TIME=Morning",CONGESTION=Severe,0.0721,0.7715,1.4641,0.0229,2.0699,2
"PEAK=Yes, VEHICLES=4+",CONGESTION=Severe,0.0766,0.771,1.4632,0.0243,2.0659,2
"LANES_BLOCKED=2+, TYPE=Breakdown",CONGESTION=Severe,0.0651,0.7696,1.4605,0.0205,2.0533,2
"CONGESTION=Free flow, LANES_BLOCKED=0",PEAK=No,0.0803,0.983,1.4596,0.0253,19.1714,2
"RESPONSE=Normal, SEVERITY=Serious",CONGESTION=Severe,0.076,0.7684,1.4583,0.0239,2.0427,2
"DURATION=>90m, TIME=Afternoon",CONGESTION=Severe,0.0539,0.7681,1.4576,0.0169,2.0397,2
"PEAK=Yes, TYPE=Collision",CONGESTION=Severe,0.0821,0.7674,1.4564,0.0257,2.0339,2
"DURATION=45-90m, LANES_BLOCKED=2+",CONGESTION=Severe,0.0934,0.7647,1.4513,0.029,2.0109,2
TIME=Late Evening,"PEAK=No, WEEKEND=No",0.0745,0.7345,1.4509,0.0231,1.8596,1
"DURATION=45-90m, PEAK=Yes",CONGESTION=Severe,0.0841,0.7643,1.4505,0.0261,2.0072,2
"CONGESTION=Free flow, WEEKEND=Yes",PEAK=No,0.0559,0.9757,1.4489,0.0173,13.4469,2
"PEAK=Yes, ZONE=South",CONGESTION=Severe,0.0523,0.7625,1.4471,0.0162,1.9921,2
"TIME=Evening, WEEKEND=No",CONGESTION=Severe,0.1169,0.7616,1.4454,0.036,1.9844,2
PEAK=Yes,CONGESTION=Severe,0.2483,0.7604,1.4431,0.0762,1.9744,1
"PEAK=Yes, RESPONSE=Normal",CONGESTION=Severe,0.0773,0.7588,1.4401,0.0236,1.9617,2
"LANES_BLOCKED=2+, ZONE=North",CONGESTION=Severe,0.0904,0.7588,1.44,0.0276,1.961,2
"LANES_BLOCKED=1, SEVERITY=Serious",CONGESTION=Severe,0.081,0.7569,1.4364,0.0246,1.9458,2
"LANES_BLOCKED=2+, WEATHER=Clear",CONGESTION=Severe,0.1331,0.7552,1.4333,0.0402,1.9327,2
"PEAK=Yes, WEATHER=Cloudy",CONGESTION=Severe,0.057,0.7541,1.4311,0.0172,1.9236,2
PEAK=Yes,"CONGESTION=Severe, WEEKEND=No",0.2015,0.617,1.4303,0.0606,1.4847,1
LANES_BLOCKED=2+,"CONGESTION=Severe, WEEKEND=No",0.2169,0.6167,1.4295,0.0652,1.4834,1
"PEAK=Yes, VEHICLES=2-3",CONGESTION=Severe,0.1377,0.753,1.4291,0.0414,1.9154,2
"SEVERITY=Serious, ZONE=North",CONGESTION=Severe,0.0707,0.7481,1.4196,0.0209,1.8777,2
"PEAK=Yes, ZONE=North",CONGESTION=Severe,0.0744,0.7439,1.4117,0.0217,1.8469,2
"DURATION=>90m, RESPONSE=Fast",CONGESTION=Severe,0.08,0.7435,1.4111,0.0233,1.8446,2
"LANES_BLOCKED=2+, RESPONSE=Slow",CONGESTION=Severe,0.0539,0.7435,1.411,0.0157,1.8444,2
"ROAD=Arterial, TIME=Evening",CONGESTION=Severe,0.064,0.7426,1.4094,0.0186,1.8382,2
TIME=Night,"PEAK=No, WEEKEND=No",0.1095,0.7132,1.4089,0.0318,1.7218,1
"PEAK=Yes, TIME=Morning",CONGESTION=Severe,0.1197,0.7408,1.4058,0.0346,1.8248,2
"PEAK=Yes, TYPE=Breakdown",CONGESTION=Severe,0.061,0.7406,1.4054,0.0176,1.8234,2
"DURATION=45-90m, TIME=Evening",CONGESTION=Severe,0.0506,0.7271,1.3798,0.0139,1.7332,2
"PEAK=Yes, RESPONSE=Slow",CONGESTION=Severe,0.053,0.7245,1.375,0.0144,1.7173,2
TIME=Evening,CONGESTION=Severe,0.1482,0.7232,1.3726,0.0402,1.7093,1
"DURATION=>90m, WEEKEND=No",CONGESTION=Severe,0.1618,0.7221,1.3703,0.0437,1.7021,2
"RESPONSE=Fast, TIME=Morning",CONGESTION=Severe,0.0693,0.7209,1.368,0.0186,1.6947,2
"DURATION=>90m, ROAD=Collector",CONGESTION=Severe,0.0574,0.7197,1.3659,0.0154,1.6878,2
"LANES_BLOCKED=1, TIME=Morning",CONGESTION=Severe,0.07,0.7185,1.3635,0.0187,1.6805,2
"TIME=Evening, VEHICLES=2-3",CONGESTION=Severe,0.0823,0.7175,1.3618,0.0219,1.6749,2
"PEAK=Yes, WEATHER=Clear",CONGESTION=Severe,0.1076,0.7166,1.36,0.0285,1.6694,2
"SEVERITY=Serious, VEHICLES=4+",CONGESTION=Severe,0.0699,0.7146,1.3562,0.0184,1.6578,2
"LANES_BLOCKED=1, TIME=Afternoon",CONGESTION=Severe,0.0529,0.7099,1.3472,0.0136,1.6307,2
"LANES_BLOCKED=1, ROAD=Collector",CONGESTION=Severe,0.0784,0.7086,1.3447,0.0201,1.6233,2
"RESPONSE=Fast, TIME=Afternoon",CONGESTION=Severe,0.0557,0.7076,1.3429,0.0142,1.6179,2
"PEAK=No, SEVERITY=Serious",CONGESTION=Severe,0.1233,0.6985,1.3256,0.0303,1.5691,2
TIME=Evening,"CONGESTION=Severe, WEEKEND=No",0.1169,0.5703,1.3219,0.0285,1.3232,1
"LANES_BLOCKED=2+, PEAK=No",CONGESTION=Severe,0.1647,0.6919,1.3131,0.0393,1.5354,2
"CONGESTION=Light, WEEKEND=No",PEAK=No,0.1006,0.8829,1.311,0.0239,2.7888,2
"DURATION=>90m, ROAD=Arterial",CONGESTION=Severe,0.0823,0.6895,1.3086,0.0194,1.5236,2
"LANES_BLOCKED=2+, ROAD=Highway",CONGESTION=Severe,0.0796,0.6862,1.3022,0.0185,1.5075,2
"LANES_BLOCKED=2+, SEVERITY=Moderate",ROAD=Arterial,0.0551,0.5548,1.3016,0.0128,1.2888,2
"TIME=Morning, WEEKEND=No",CONGESTION=Severe,0.1544,0.6857,1.3013,0.0358,1.5051,2
"DURATION=>90m, VEHICLES=2-3",CONGESTION=Severe,0.1134,0.6856,1.3012,0.0262,1.5049,2
"LANES_BLOCKED=2+, SEVERITY=Moderate",WEATHER=Clear,0.0629,0.6331,1.2953,0.0143,1.3935,2
"DURATION=>90m, RESPONSE=Normal",CONGESTION=Severe,0.0632,0.6772,1.2852,0.014,1.4655,2
DURATION=>90m,CONGESTION=Severe,0.1984,0.6754,1.2818,0.0436,1.4574,1
"RESPONSE=Normal, TIME=Morning",CONGESTION=Severe,0.0602,0.6734,1.2779,0.0131,1.4484,2
DURATION=>90m,"CONGESTION=Severe, WEEKEND=No",0.1618,0.5508,1.2769,0.0351,1.2659,1
"ROAD=Arterial, TIME=Morning",CONGESTION=Severe,0.0841,0.6721,1.2755,0.0182,1.4428,2
"TIME=Afternoon, WEEKEND=No",CONGESTION=Severe,0.1282,0.671,1.2733,0.0275,1.4377,2
"LANES_BLOCKED=2+, WEEKEND=Yes",CONGESTION=Severe,0.0584,0.6698,1.2711,0.0125,1.4327,2
"RESPONSE=Fast, WEEKEND=No",CONGESTION=Severe,0.1612,0.6672,1.2663,0.0339,1.4216,2
"DURATION=>90m, LANES_BLOCKED=1",CONGESTION=Severe,0.0666,0.6639,1.26,0.0137,1.4077,2
"DURATION=>90m, TYPE=Collision",CONGESTION=Severe,0.0823,0.6638,1.2598,0.017,1.4071,2
"RESPONSE=Normal, TIME=Afternoon",CONGESTION=Severe,0.0514,0.6638,1.2598,0.0106,1.4073,2
"TIME=Evening, WEATHER=Clear",CONGESTION=Severe,0.0615,0.662,1.2563,0.0126,1.3995,2
CONGESTION=Free flow,"PEAK=No, WEEKEND=No",0.0994,0.6345,1.2533,0.0201,1.3508,1
"ROAD=Arterial, TIME=Afternoon",CONGESTION=Severe,0.069,0.6596,1.2518,0.0139,1.3899,2
"CONGESTION=Severe, LANES_BLOCKED=0",WEEKEND=No,0.0605,0.9426,1.2506,0.0121,4.2907,2
"ROAD=Collector, TIME=Morning",CONGESTION=Severe,0.0538,0.6577,1.2481,0.0107,1.3819,2
"DURATION=>90m, ZONE=North",CONGESTION=Severe,0.0589,0.6575,1.2479,0.0117,1.3814,2
"DURATION=>90m, VEHICLES=4+",CONGESTION=Severe,0.0647,0.6575,1.2478,0.0129,1.3813,2
"PEAK=Yes, SEVERITY=Moderate",CONGESTION=Severe,0.0688,0.6568,1.2464,0.0136,1.3783,2
"SEVERITY=Minor, VEHICLES=2-3",WEATHER=Clear,0.0843,0.6073,1.2425,0.0165,1.3018,2
"CONGESTION=Light, DURATION=45-90m",PEAK=No,0.0514,0.8362,1.2417,0.01,1.9939,2
"SEVERITY=Serious, TYPE=Collision",CONGESTION=Severe,0.0782,0.6501,1.2338,0.0148,1.352,2
"LANES_BLOCKED=2+, SEVERITY=Moderate",PEAK=No,0.0824,0.8302,1.2327,0.0156,1.9229,2
"ROAD=Arterial, SEVERITY=Minor",WEATHER=Clear,0.0627,0.6013,1.2301,0.0117,1.2821,2
"SEVERITY=Minor, WEATHER=Cloudy",PEAK=No,0.0513,0.8283,1.2299,0.0096,1.9016,2
"CONGESTION=Light, ROAD=Arterial",PEAK=No,0.0575,0.828,1.2296,0.0107,1.899,2
"CONGESTION=Light, VEHICLES=2-3",PEAK=No,0.0823,0.828,1.2295,0.0154,1.8985,2
"SEVERITY=Minor, WEEKEND=No",WEATHER=Clear,0.1021,0.601,1.2295,0.0191,1.2811,2
SEVERITY=Minor,WEATHER=Clear,0.139,0.5996,1.2267,0.0257,1.2767,1
"TIME=Morning, TYPE=Collision",CONGESTION=Severe,0.0606,0.6463,1.2265,0.0112,1.3375,2
"DURATION=45-90m, TIME=Morning",CONGESTION=Severe,0.0648,0.646,1.226,0.0119,1.3364,2
"SEVERITY=Minor, WEEKEND=No",PEAK=No,0.1402,0.8255,1.2259,0.0258,1.8719,2
"DURATION=20-45m, SEVERITY=Minor",WEATHER=Clear,0.0557,0.5979,1.2232,0.0102,1.2713,2
CONGESTION=Light,PEAK=No,0.1451,0.8231,1.2223,0.0264,1.8463,1
"DURATION=20-45m, SEVERITY=Minor",PEAK=No,0.0767,0.8227,1.2216,0.0139,1.8414,2
"CONGESTION=Light, SEVERITY=Moderate",PEAK=No,0.0588,0.8215,1.2199,0.0106,1.8296,2
"DURATION=45-90m, SEVERITY=Minor",PEAK=No,0.0591,0.8205,1.2183,0.0106,1.8189,2
"ROAD=Arterial, SEVERITY=Minor",PEAK=No,0.0855,0.8203,1.218,0.0153,1.8168,2
"TIME=Morning, VEHICLES=4+",CONGESTION=Severe,0.056,0.6417,1.2177,0.01,1.3201,2
"RESPONSE=Fast, ROAD=Collector",CONGESTION=Severe,0.0555,0.6414,1.2173,0.0099,1.3194,2
"DURATION=>90m, WEATHER=Clear",CONGESTION=Severe,0.0841,0.6413,1.2171,0.015,1.3188,2
"TIME=Afternoon, TYPE=Collision",CONGESTION=Severe,0.0535,0.6405,1.2156,0.0095,1.3161,2
"LANES_BLOCKED=1, RESPONSE=Fast",CONGESTION=Severe,0.0694,0.6386,1.2118,0.0121,1.3088,2
"TIME=Morning, VEHICLES=2-3",CONGESTION=Severe,0.106,0.6379,1.2107,0.0184,1.3066,2
TIME=Morning,CONGESTION=Severe,0.1874,0.6372,1.2092,0.0324,1.3039,1
SEVERITY=Minor,PEAK=No,0.1885,0.8132,1.2076,0.0324,1.7483,1
"PEAK=No, SEVERITY=Minor",WEATHER=Clear,0.1112,0.5901,1.2073,0.0191,1.2472,2
"SEVERITY=Minor, VEHICLES=2-3",PEAK=No,0.1128,0.8125,1.2065,0.0193,1.7417,2
"ROAD=Collector, SEVERITY=Minor",PEAK=No,0.0598,0.8095,1.2021,0.0101,1.7145,2
"RESPONSE=Fast, ROAD=Arterial",CONGESTION=Severe,0.0863,0.6334,1.2021,0.0145,1.2905,2
"SEVERITY=Minor, ZONE=North",PEAK=No,0.0523,0.8089,1.2011,0.0088,1.7085,2
"RESPONSE=Fast, TYPE=Collision",CONGESTION=Severe,0.0786,0.6307,1.197,0.0129,1.2812,2
SEVERITY=Minor,"PEAK=No, WEEKEND=No",0.1402,0.6049,1.1949,0.0229,1.2497,1
"LANES_BLOCKED=0, SEVERITY=Minor",WEATHER=Clear,0.1032,0.5841,1.1949,0.0168,1.2291,2
"CONGESTION=Light, WEATHER=Clear",PEAK=No,0.0746,0.8041,1.194,0.0121,1.6667,2
"LANES_BLOCKED=1, WEEKEND=No",CONGESTION=Severe,0.154,0.629,1.1937,0.025,1.2752,2
"RESPONSE=Slow, SEVERITY=Minor",PEAK=No,0.0522,0.8035,1.1932,0.0085,1.6621,2
"SEVERITY=Minor, WEATHER=Clear",PEAK=No,0.1112,0.8004,1.1885,0.0176,1.6357,2
"CONGESTION=Light, SEVERITY=Minor",PEAK=No,0.0643,0.7988,1.1861,0.0101,1.6229,2
"RESPONSE=Fast, VEHICLES=2-3",CONGESTION=Severe,0.1112,0.6245,1.1852,0.0174,1.26,2
"WEATHER=Rain, WEEKEND=No",CONGESTION=Severe,0.0692,0.6227,1.1818,0.0106,1.2538,2
"LANES_BLOCKED=0, SEVERITY=Minor",PEAK=No,0.1404,0.7948,1.1802,0.0214,1.5916,2
"SEVERITY=Minor, TYPE=Breakdown",PEAK=No,0.057,0.7938,1.1788,0.0087,1.5841,2
TIME=Afternoon,CONGESTION=Severe,0.1526,0.6206,1.1778,0.023,1.247,1
"PEAK=No, TIME=Afternoon",CONGESTION=Severe,0.1526,0.6206,1.1778,0.023,1.247,2
"TIME=Morning, ZONE=North",CONGESTION=Severe,0.0546,0.6199,1.1764,0.0082,1.2446,2
"TIME=Afternoon, VEHICLES=2-3",CONGESTION=Severe,0.0869,0.6196,1.1759,0.013,1.2436,2
RESPONSE=Fast,CONGESTION=Severe,0.197,0.618,1.1728,0.029,1.2383,1
"RESPONSE=Fast, VEHICLES=4+",CONGESTION=Severe,0.0639,0.6159,1.1689,0.0092,1.2317,2
"RESPONSE=Fast, ZONE=North",CONGESTION=Severe,0.058,0.6128,1.163,0.0081,1.2218,2
"RESPONSE=Normal, WEEKEND=No",CONGESTION=Severe,0.1403,0.6076,1.1531,0.0186,1.2055,2
"DURATION=45-90m, RESPONSE=Fast",CONGESTION=Severe,0.0683,0.6074,1.1528,0.009,1.2051,2
"TIME=Afternoon, WEATHER=Clear",CONGESTION=Severe,0.074,0.6063,1.1506,0.0097,1.2016,2
"LANES_BLOCKED=2+, SEVERITY=Moderate",CONGESTION=Severe,0.0601,0.6051,1.1484,0.0078,1.198,2
"SEVERITY=Moderate, TYPE=Collision",WEATHER=Clear,0.0576,0.561,1.1476,0.0074,1.1644,2
"DURATION=45-90m, TIME=Afternoon",CONGESTION=Severe,0.0521,0.6032,1.1448,0.0066,1.1923,2
"TIME=Morning, WEATHER=Clear",CONGESTION=Severe,0.0886,0.6027,1.1437,0.0111,1.1906,2
"CONGESTION=Light, WEEKEND=No",WEATHER=Clear,0.0635,0.5575,1.1405,0.0078,1.1552,2
"LANES_BLOCKED=1, RESPONSE=Normal",CONGESTION=Severe,0.0602,0.6,1.1387,0.0073,1.1827,2
"SEVERITY=Moderate, TYPE=Collision",PEAK=No,0.0787,0.7657,1.1371,0.0095,1.394,2
"ROAD=Collector, WEEKEND=No",CONGESTION=Severe,0.1226,0.5973,1.1335,0.0144,1.1747,2
"CONGESTION=Moderate, LANES_BLOCKED=0",WEEKEND=No,0.061,0.8534,1.1322,0.0071,1.6797,2
CONGESTION=Light,"PEAK=No, WEEKEND=No",0.1006,0.5706,1.1271,0.0113,1.1498,1
"ROAD=Arterial, WEEKEND=No",CONGESTION=Severe,0.1913,0.5933,1.126,0.0214,1.1632,2
"WEEKEND=No, ZONE=Central",CONGESTION=Severe,0.1094,0.5919,1.1232,0.012,1.1591,2
"CONGESTION=Light, LANES_BLOCKED=0",PEAK=No,0.0788,0.7553,1.1216,0.0085,1.3345,2
"LANES_BLOCKED=1, VEHICLES=4+",CONGESTION=Severe,0.0578,0.5903,1.1203,0.0062,1.1547,2
"LANES_BLOCKED=1, TYPE=Collision",CONGESTION=Severe,0.063,0.5891,1.1181,0.0067,1.1514,2
"CONGESTION=Severe, ZONE=West",WEEKEND=No,0.053,0.8424,1.1177,0.0056,1.5631,2
"RESPONSE=Normal, ROAD=Arterial",CONGESTION=Severe,0.0767,0.5875,1.1149,0.0079,1.1467,2
"CONGESTION=Severe, TIME=Afternoon",WEEKEND=No,0.1282,0.8397,1.114,0.0131,1.5361,2
"ROAD=Highway, SEVERITY=Moderate",PEAK=No,0.0571,0.7497,1.1133,0.0058,1.3049,2
"RESPONSE=Very Slow, WEEKEND=No",PEAK=No,0.0804,0.7485,1.1114,0.0081,1.2984,2
"WEEKEND=No, ZONE=East",CONGESTION=Severe,0.0522,0.5848,1.1098,0.0052,1.1393,2
"CONGESTION=Severe, ROAD=Highway",WEEKEND=No,0.0793,0.8353,1.1083,0.0077,1.4957,2
"SEVERITY=Moderate, TIME=Afternoon",CONGESTION=Severe,0.0528,0.5832,1.1068,0.0051,1.135,2
"CONGESTION=Severe, TYPE=Breakdown",WEEKEND=No,0.1046,0.8337,1.1061,0.01,1.4806,2
"RESPONSE=Fast, WEATHER=Clear",CONGESTION=Severe,0.0846,0.5825,1.1055,0.0081,1.1332,2
"SEVERITY=Moderate, VEHICLES=4+",PEAK=No,0.0771,0.7441,1.1049,0.0073,1.276,2
"TYPE=Collision, WEEKEND=No",CONGESTION=Severe,0.1466,0.5815,1.1036,0.0138,1.1304,2
RESPONSE=Very Slow,"PEAK=No, WEEKEND=No",0.0804,0.5586,1.1035,0.0075,1.1186,1
"CONGESTION=Severe, DURATION=20-45m",WEEKEND=No,0.0899,0.8313,1.1029,0.0084,1.46,2
